,text,given_label,suggested_label
166,"Shutter Lag TIP! search &quot;advanced intelligence options&quot; in the settings. Very top first option. Then select minimum, and try taking pics again it should feel much faster.",positive,positive
167,The new speakers on the S24 Ultra are actually way better compared to the S23 Ultra.,positive,positive
168,"Individuals who exhibit a clear bias towards Apple products should refrain from evaluating Android or Samsung products. Your evident preference for Apple is understandable, but it compromises your ability to provide an impartial assessment. Please refrain from wasting our time by attempting to present an unbiased opinion when it is evident that you are incapable of doing so.",positive,positive
169,"Still the OnePlus Open. S22U, S23U, S24U are very similar. Most of the AI tricks are just that tricks. Things most people will think are cool and then forget are there.",positive,positive
170,I read somewhere that the only older phone that will be receiving AI features in the S range is the s23 Ultra.,positive,neutral
171,"<a href=""https://www.youtube.com/watch?v=HvoBci_GC8A&amp;t=922"">15:22</a> Your apple watch shows your loyalty to Apple. As for everything else, it&#39;s just your opinion. S24 ultra is way better than the iPhone your bias you complain bf you say anything good about the phone smh",positive,positive
172,"Which company make most promot for their phones in respective countries? Answer is clear… iPhone never do any promotion like Samsung for their phones. For example, if you do pre order u will get double storage….",positive,positive
174,there is just no convincing me that the ultra is worth 300$ for a pen and slightly better camera. If anything the ultra feels oddly cheaper. I went and tested both in store and chose the plus easily.,positive,positive
175,All of you people are just people that market for iPhones fan boys pretending to be reviews,neutral,neutral
176,"Nah, you will stick to your iphone, it&#39;s a status symbol and apple pays you the most.",positive,positive
177,The S24 Ultra feels like an S23 Ultra but with software updates. Who is with me?,neutral,positive
178,"I guess when hardware creativity has been tapped out, you gotta think of another gimmick to sell phones.",neutral,neutral
180,The intro to this video went hard,negative,neutral
181,"I can&#39;t wait to save up every penny for the S24 so I can then  put the money into important stuff like rent, food, and bills.",positive,positive
182,"<a href=""https://www.youtube.com/watch?v=HvoBci_GC8A&amp;t=699"">11:39</a> If you want to lie, take off your Apple Watch while filming. If you look at the recent videos you&#39;ve reviewed, they&#39;re all Apple Watch.",neutral,positive
183,hey did you meet a young boy at centre parks in the showers because that was a friend of mine,positive,negative
184,Sell my iPhone 14 Pro ?,neutral,neutral
185,It&#39;s really a good phone if you have the budget,positive,positive
186,It&#39;s tempting because I&#39;m on a galaxy s20+. Her take seems to be aimed at people on galaxy s23 not upgrading. According to a Qualcomm chip comparison their snapdragon gen 3 is just over twice as powerful as what&#39;s in my phone. I&#39;m going to hold off until the S25 I think.,positive,positive
187,"I use it for my work, and no phone out there can replace it",neutral,negative
188,I purchased the S24 ultra for the wife&#39;s birthday. I use the Samsung trade in program to get the best price everytime I purchase a new phone. This purchase gave me free ear phones. Thanks Samsung.,positive,positive
189,❤ for adding Taj Mahal in your holiday season. all Indians like here,neutral,positive
190,"Blaming Samsung for how IG &amp; SC process is a little unreasonable at this point - considering these apps have been heavily biased in developing everything to work extremely well with iPhones and subpar for all Android devices. And I think Apple has done that on purpose. So it&#39;s definitely not a thing Samsung &quot;hasn&#39;t been trying to fix &amp; failing&quot;, considering how much they do on their devices, they&#39;re just getting f#&amp;ked along with other Android devices.",negative,positive
192,Where is the vision pro review Arun,neutral,positive
193,"I get it, you&#39;re an iPhone fanboy",neutral,neutral
194,"Imagine buying the s24 for over a 1000$ and getting mopped by a 400$ iphone 12 when you open Ig or Snapchat, that&#39;s a really big redflag...",neutral,negative
196,bro <br>apple vision pro<br>pls review<br>PROPERLY,neutral,negative
197,"Every time I look to bloggers, they always say upgrades are very minor) never like - there are huge changes. Well hello, it’s always like this and will be… due to business model (manufacturers must issues yearly) but this time the upgrade is definitely worth it ❤",positive,positive
198,S24 Ultra selfie camera was a lot better,positive,positive
199,The curve didn&#39;t need to go imo. The boxy shape the Ultra goes for benefited from the round edges.,negative,positive
200,The screen issue with vibrance is fixed if you turn off eye comfort shield. Im sure an update will be pushed soon.,positive,positive
201,"In general,  the innovation pace is slowed/stagnated. This is why we kept seeing incremental updates especially from Apple. When it comes to samsung, people used to see samsung pushing the limits of innovation in almost every new phone model. It seems samsung changed this strategy and started focusing on perfecting whats actually working. The drawbacks of this strategy is that it leaves no place for real innovation",positive,positive
202,"If its Titanium, can we call this the S24 Ultra Ti?",neutral,neutral
203,Wi-Fi 7 is freaking awesome he says. The standard is not ratified yet and almost all routers dont support it. Idiotic comments like this drags the channel down. I have loved this channel for years but it has become a commercial gig and a clown cirkus. Wi-Fi 7 up my,positive,positive
204,"Wi-Fi 7 is freaking awesome he says. The standard is not ratified yet and almost all routers dont support it. Idiotic comments like this drags the channel down. I have loved this channel for years but it has become a commercial gig and a clown cirkus. Wi-Fi 7 up my<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>",positive,positive
205,What is the big deal with Bluetooth 5.4? Should I wait until next year to buy a new phone if it&#39;s that big of a jump.,positive,positive
206,Do someone knows the name of the app of the scrachable date night ideas,neutral,neutral
207,The flat screen is what I&#39;ve been waiting for since the Note 5,negative,neutral
208,This phone is sick but the problem is Android...I wish there was a better more open OS that these higher end devices could run.,positive,positive
209,I am so glad to see my favorite tech guy isn&#39;t an iPhone user. I gave up Apple years ago for many reasons.,positive,positive
210,I seem to remember another flagship coming out last year for the same price as this thing&#39;s entry... and it was &quot;too expensive!&quot;<br><br>Yet I can guarantee this thing at 512 and 1tb will get gobbled up like cocaine on a stripper 🙄,neutral,positive
211,"Bought mine S24 Ultra in EU , but there is no 5G cutout on side like the S24 Ultra. What does that mean? Different 5G bands? EU is fake 5G? 🤔",negative,positive
212,THATS JUST A THERORY A PHONE THEORY,neutral,neutral
213,you can also do google image search on pixel phones @ShirtCircuit,neutral,neutral
214,DBrand Trolling linus is now a staple,neutral,neutral
215,Totally with you on the curved display. I think it was such a cool design choice and I&#39;m sad to see it gone :&#39;( Flat screen is definitely better for people who use the S Pen a lot though I have to say.,positive,positive
216,I finally copped it from note 10 plus. Humble. Big bad and boujee. Love it,negative,negative
217,Is he finally switching from his  Note 9?,neutral,neutral
218,The glass is not that tough as they are saying :),positive,neutral
219,"That &quot;magic circle select&quot; is not exclusive feature of 24.... it&#39;s Pixel feature. On the apps screen you can tap select, select any image in any opened app and click &quot;googel lense&quot;. Samsung simply put that begind gesture, but it&#39;s absolutely there on Pixel. And on pixel it allows you to select text as well",positive,positive
220,I just put a new screen and battery into my s21. I still never notice anything less than perfect operation. Never lags never stutters. The most future proof piece of tech I&#39;ve ever bought.,positive,positive
221,Very not nerdy. Feels incomplete. There&#39;s so much you can use to demonstrate the phone but I guess he wasn&#39;t paid by Samsung. Neend se uth ke aaya hai lag raha hai...,positive,positive
222,"Man I am so sick of having AI shoved down my throat everywhere i turn. Work wants us to do training on how to use it and make it part of our workflow, Windows is baking it into win 12 and now Samsung flagships (what i use) is going to force it on me. At least make it something i can opt into installing later on instead of forcing it on me",negative,positive
223,"Remember, it&#39;s still 1300$ for a new glass/display and lesser zoom/battery life. I don&#39;t think one should pay that much in 2024 for a good phone. Unlike PCs, this is bare minimum upgrade for same phone. <br><br>Price and cons aside, it&#39;s good to see Samsung finally dumping curves for good and turning toward a matured design (while not falling for iPhone&#39;s copy with completely flat frame). Hoping to see more rounded corners (border-radius) for S25U.",positive,positive
224,Circle to search came to my Pixel yesterday,neutral,neutral
225,Circle to search is iffy on my Pixel 8 Pro.<br>I did it with Linus&#39;s face from this video and it didn&#39;t work.<br>&quot;Results for people are limited. Try searching a larger area.&quot;<br><br>Then I did one with an image from Google Images and it worked.<br><br><br>Magic Editor can&#39;t edit parts of people. I tried making a cup I was holding giant but it denied my request.,negative,negative
226,"I mean it&#39;s justified as an update if apple changed the glass and processor, it should be justified for Samsung 😂",positive,positive
227,I am confused about the transfer speeds on the S24 Ultra. I tried transferring a 3GB and it took about 7 minutes. I tried transferring the same file using my laptop wireless and it transferred in under 30 seconds. Surely the S24 Ultra should be faster than that,positive,negative
228,Displays with curved edges are one of the worst thing that happened to some smart phones! So it looks like they are going away from it,negative,negative
229,Samsung definitely paid you for this video. The S24 it&#39;s not worth the price at all!  Colors and resolution are dull and nothing on settings fix it. It reminds me of the old school plasma televisions. Many techs online are saying there won&#39;t be an update to fix issue  so I would wait if you&#39;re thinking of buying an S24 ultra 👎👎,positive,positive
230,I currently have the S22 Ultra. So glad I skipped the S23 Ultra. Can’t wait to get the S24 Ultra.,positive,positive
231,Being able to take pictures with the s pen is really cool and im not even a selfie person,positive,positive
232,"Whats the reason for 12gb ram on a phone? Please educate me im clueless, just feel like my iphone always runs good whatever i do with it",positive,positive
233,I&#39;m holding off my upgrade until Galaxy S25 Ultra next year.,neutral,neutral
234,"the only complaint i had about my s23 was the edged screen. My last 2 phones (including the s23) have been edged screens. I prefer flat, and may just get the s24 for the flat screen alone.",negative,neutral
235,"the term you&#39;re looking for is &quot;sarcasm&quot;, not irony. you know what else is ironic? your sponsor, and that even with circle search you had to included the effing store. as for sarcasm here, have a free shoutout to the ltt store ya beggars.",positive,positive
236,Should have known to wait for this before ordering my dbrand case :/,negative,positive
237,fifth video in a row with the s24 ultra in the thumbnail,neutral,neutral
238,"Still running a Note 8 that I got on launch day back in 2017. That part about the S-pen is very accurate. Even before when I had the Note 3. Would a larger battery be nice? Sure, but the amount of times I have been thankful for the added functionality that little pen gives in my opinion outweighs it. The s-pen being on the left side is a tad interesting though as it is on the right side (the side you said it should be on) on my phone. Time and time again I have thought about switching to Apple and narrowing down the amount of ecosystems I deal with as my career field is still dominated by Apple products but the fact that the pro max phones still don&#39;t have some sort of apple pencil (perhaps an apple pencil mini?) for them yet has been a huge holdup for me.",positive,positive
239,"<a href=""https://www.youtube.com/watch?v=OjxljuS7wY0&amp;t=805"">13:25</a> rotfl best moment.",positive,neutral
240,I&#39;d buy it right away but having 1tb built in storage in my galaxy s10 Plus is just tooo nice to give up :P,positive,positive
241,Would run APPLE  through the<br> Gauntlet if they did this,neutral,neutral
242,Lol Samsung gets all the grace,positive,positive
243,The AI is crazy,negative,neutral
244,"I would not buy it yet<br>Some Galaxy S24 pre-order customers received their phones early and noticed a display issue related to the vivid color profile. Samsung is aware of the problem and is working on a fix,",positive,positive
245,"If it ain&#39;t boring, then I guess you won&#39;t sell it?",negative,neutral
246,"Commenting to see if they cover Dex mode... god do I want more mobile desktop modes<br>They did not cover DeX, although this is short circuit so I guess I can wait for the full review",positive,positive
247,"<a href=""https://www.youtube.com/watch?v=HvoBci_GC8A&amp;t=85"">1:25</a> great moment lol",positive,neutral
248,Please tell me if the vibration in the phone increased because the problem with my s23 ultra is when someone text me I can&#39;t even feel it in my pocket has such a weak vibrator built into it,negative,positive
249,I hope Realme Gt 5 pro comes to global and would be nice if you do a review about it😊,positive,positive
251,Could you do a review of base iphone 15 and base s24?,negative,neutral
252,Yo 18m subs good job my belly hurts,positive,positive
253,But this guy is always leaving iphone,neutral,neutral
254,Samsung really needs to pay this man!! I&#39;ve had the s22 ultra since it came out and wasn&#39;t going to upgrade but after seeing this video I just might go in an get one,positive,positive
255,"Went to have a look at in in store, way to thick for me, no thanks",negative,positive
256,I’ll stick with my amazing blue iPhone 15 💪👍,positive,neutral
257,If I&#39;d have known they were going to start charging for the AI shit next year I wouldn&#39;t have bought this phone. ,negative,neutral
258,"<a href=""https://www.youtube.com/watch?v=OjxljuS7wY0&amp;t=378"">6:18</a> How accurate is this? We all know how your tested was flawed for ages and nothing was ever done about it. Lots of trust has been lost.",negative,positive
259,They even copied the natural titanium color from the iPhone 15 Pro💀💀💀,positive,negative
260,Any thoughts on Vivid mode not working? Settings--&gt;Display--&gt;Screen Mode--&gt;Vivid isn&#39;t doing anything. It&#39;s just Natural (even when vivid is selected) that most people switch from as soon as they get their Samsung phone,positive,positive
261,"I truly don&#39;t undersand how anyone can use a phone this big, especially with these sharp corners. It really does not look comforable to use.",positive,positive
262,there is no exynos ultra bzw. Just the base model and the plus.,negative,neutral
263,"24 hours of Youtube playback would be impossible. every Samsung I ever had (s7, s9, s20, s22) was dead after a maximum of 7 hours of screen on time",negative,negative
264,How is it still legal for companies to sell a phone with two completely different SoCs and name it the same all over the world? Can you imagine a company selling &quot;THE BESTEST PC EVER&quot; and having a 14900K in the American systems and a 4770k in the European ones?,positive,negative
265,I am still deciding whether to buy the S24 plus 512gb rather than the Ultra 1tb or 512gb. I still have the Note 9 512gb and newer Note 20 512gb on a Plan for 3 years only way to go for me. I keep waiting until  this mobile S24 arrived but go one level down S24 Plus 512gb. thank for your review Linus.,negative,positive
266,"I can already do Bixby vision and find stuff too on my s22 ultra. This looks even better being able to circle the object, but not super revolutionary",positive,negative
267,This phone is a disappointment for a lot of reasons i even thought on buying one but after i looked a bit more about it i realised it’s not worth the money,negative,negative
268,I lost it when you used AI to erase the AI watermark 😂😂😂,neutral,neutral
269,Got s24+😅,neutral,neutral
270,"Lol, my Note 9 looks the same.",positive,neutral
271,"I don&#39;t really care who has the best camera or is the fastest phone in benchmarks. Every flagship smartphone takes super pictures and video&#39;s and is blazing fast. 97% of all smartphone users don&#39;t even see the differences.<br>I&#39;m a SMARTPHONE user so I want the best screen (dpi/brightness/anti-glare), best battery, best/most usablility and productivity options, best gaming- and multi-media experience, best personalization options and best innovation. <br>I want DEX, KNOX, S-PEN, call recording, multi-tasking, multi-window, fingerprint scanner, best screen, widgets, themes, integration with windows, the biggest eco-system (Samsung SmartThings), fast charging, fast wireless charging and I want AI.<br>On all these aspects the S24 Ultra is destroying the iphone 15 PM big time.  So why keep people buying these antiquated, restricted and very very limited iphones?",positive,positive
272,I approve of the name S23 Ultra S<br><br>The number after 3 is forbidden. Maybe Samsung Galaxy S23B  ?,neutral,positive
273,"You and Yvonne are qute together :)<br><br>It&#39;s inspiring to see you guys still have passion for each other, it&#39;s quite a rarity these days",positive,negative
274,"ultra has SD3 worldwide so no excuse to lower performence, I&#39;m guessing maybe the AI part has something to do with it",positive,negative
275,Why compare screens against Note 9 ? 😂 any issues you&#39;re trying to hide ? Maybe somethinf to do with vivid colour settings .... or perhaps that&#39;s how far back you had to go to make it look like an upgrade 😂,positive,negative
276,"<a href=""https://www.youtube.com/watch?v=OjxljuS7wY0&amp;t=175"">2:55</a> or just use the &quot;take a picture with a phrase&quot; function, which is available for years now.<br>Just say &quot;cheese&quot;...",positive,positive
277,nobody said its a new s 23 ultra s  - this video is nonsense,positive,positive
278,The S24U is much better than the iphone 15 crap! 💯,negative,negative
279,As someone with a s9+ thanks for the info,positive,neutral
280,"No 3,5 jack, instant pass, and no I&quot;m not going to please the market and buy a forced accessory dongle",negative,positive
281,I thought that Samsung implemented the snapdragon in all regions starting with the s23 series.,neutral,positive
282,I’m getting ready to leave Apple so everything about this phone sounds great to me.,positive,positive
283,Wow ai woww S21 have the same &quot;ai&quot; with google lens. Probably s20 to,positive,positive
284,"cool, i&#39;ll get the 25 when the ai gets a bit more mature.",positive,negative
285,"All those features are already on my Google Pixel for like a week, really glad since it&#39;s Google hahahaha",positive,positive
286,Not the MatPat red leather jacket 😂😂,neutral,positive
287,SDCard support? Headphone jack? No?,neutral,neutral
288,Had mine for a week to i love it ❤,positive,neutral
289,Samsung still has to fix the always on display and Facebook chat bubble issue on the s24,neutral,neutral
290,"4 years worth of Samsung phones that rattle when lying flat on a surface.<br>Heavy enough to make your 💪 grow.<br>Sharp enough to make your palms bleed.<br>But it got gimmicky Ai, look, a feature literally no one will use.",positive,positive
291,"I initially wanted to buy S23 Ultra when this one came out, but due to free upgrade and slightly higher price I decided on s24 ultra. I&#39;m very excited, especially since I currently own xiaomi mi 11. So this will def be a huge upgrade (even though I must say, I was very satisfied with xiaomi)",positive,positive
292,"<a href=""https://www.youtube.com/watch?v=3_zjIf735AE&amp;t=223"">3:43</a> 😂 Man what are you talking about?! What is smooth s24 looks grainy and unfocused and glitches and very bright on daylight !!! How is that looking to you?! Iphone looks smoother and natural with good stability 👍<br>My s23 ultra still doing better than this even zooming still better than s24 and you proved that by your samples 🥴",positive,positive
293,"So the best feature of the S24 ultra is a gimmick because No one asked for AI, and No one needs AI.",positive,positive
294,I can’t wait for Samsung Galaxy s24 ultra,neutral,neutral
295,it is nice to see the flat screen. curved screen looks nice. but i dont like the light glare / reflections you get on the edges when you are outside. it makes the screen seem smaller in width,positive,positive
296,"lag on top tier android? meanwhile. my iPhone 15 plus lags and freezes on basic shit like scrolling through  google or YouTube and yes, my phone is up to date. i had my iphone not open apps or open them but take forever. too fully load in something no apple sheep can explain too me",positive,positive
297,Swktching from iPhone 14 Pro. So excited!!,positive,negative
298,"<a href=""https://www.youtube.com/watch?v=3_zjIf735AE&amp;t=126"">2:06</a> it is a downgrade. That’s y you quickly changed the frame so most people won’t notice??",positive,positive
299,You guy&#39;s use high end new Samsung phones why don&#39;t you ship me your old mobile😅.,positive,positive
300,Wonder if i should go from my s22 ultra to the s24 plus.... i dont understand why make the s24 and 24 plus shaped like a iphone and not make the 24 uktra shaped like thr iphone... shit makes noooo sense at all,negative,positive
301,"glad I waited for the 24 Ultra, will be replacing my a80 once the prices dropped",positive,positive
302,"I bought the s24 ultra violet because of the AI features but seems like at the end of 2025 those features will be paid,is that correct?",neutral,positive
303,"Samsung has the same screen issues for the last THREE GENERATIONS and nobody highlights this. After a year or so a black dot appears this has been identified as a sign that the screen is deteriorating, in a FLAGSHIP THIS IS UNACCEPTABLE therefore I will never buy a Samsung phone again!!<br>Not just me but Thousands of others, do a Google search for yourself",negative,positive
304,"If they had made the trim gold instead of matte silver, that would have been dope.",neutral,neutral
305,"Debating upgrsding from note 10+, this phone has served me well!",neutral,positive
306,The switching between lenses isn&#39;t iphone 15 pro max level smooth,positive,positive
307,Wait till they upgrade OS to end,neutral,neutral
308,Samsung S24 Ultra is Power 💪 but i still have my S23 Ultra,neutral,neutral
309,Upgrading mh s10 plus to 24 ultra is huge step for me lmao,positive,positive
310,Samsung needs to improve the smoothness of the interface.  Important to me🤷😑,positive,positive
311,"Keep your wired earbuds if you have a S22 Ultra that your trading in. <br>Since the 24 Ultra doesn&#39;t come with any earbuds. <br>My carrier offered me $800 for my S22 Ultra &amp; I preordered the 512g Black S24 Ultra, mainly because black holds up very well throughout the years.. <br>I don&#39;t have a single micro scratch on my 22 Ultra 🤟",negative,positive
312,"<a href=""https://www.youtube.com/watch?v=3_zjIf735AE&amp;t=424"">7:04</a> &quot;older devices like the S22 lineup...&quot; brother I&#39;m upgrading from a Note 9 to this lol",positive,positive
313,It costs $2000 in my country .-.,neutral,negative
314,"You forgot to mention that most, if not all of these amazing AI features are only FREE until next year. Then, which ever features you wish to retain, you will be charged appropriately for.",positive,positive
315,if i had the money i would 100% get one,neutral,neutral
316,"I can upgrade for no charge from S23 Ultra to the 24. Still not sure if I should? AI aside, what am I really getting? Brighter screen, flat screen and questionable camera &#39;upgrades&#39;",negative,positive
317,"I&#39;d been planning on switching from my Z Fold 4 to the 15 Pro Max but ended up pre ordering the s24 Ultra when I saw how good the pre order deal was... 15% student discount, free galaxy watch 6, €725 trade in for Z fold 4 512gb...",positive,positive
318,"This Galaxy 24 Ultra is just amazing. It&#39;s a great masterpiece, and the AI function is the best. It&#39;s a must-have item when traveling abroad. I want to have it.",positive,positive
319,Is it worth upgrading from a 13 pro max,positive,neutral
320,"S22 Ultra is now considered old?! WTF?<br>Not upgrading because sooner or later, the Ai feature will get to me.",positive,positive
321,"Samsung is really on his downfall. Curved display is the main reason why people loved Samsung flagships. Now , i don&#39;t see why should i take the s24 ultra instead of the redmagic 9 or 8",positive,positive
322,Guys any advice? I’ve got a 15 pro and I’ve been an iOS user all my life and I’m contemplating between staying on the 15 or getting an s24 ultra. What do you guys think is the better phone?,positive,positive
323,The s24 has horrendous raised blacks,neutral,neutral
324,"Hi, does it have text to speak",neutral,neutral
325,I&#39;m upgrading from regular S21. It&#39;s time.,neutral,neutral
326,Rocking the Longines ...love it,neutral,neutral
327,A good review but you didn&#39;t mention anythings about the battery. I&#39;m using my phone from 5 days and I&#39;m only getting 5-6 hrs SOT. I think its way to less,positive,positive
328,"IMPORTANT!!! Hi, have you noticed that the screen colours of S24 ultra are so washed out in comparison with S23 ultra? And S22 ultra screen is more vibrant than both? Please address the issue. Thank you!",positive,positive
329,"This years s24u is a slightly improved s22-s23 phone with an upgraded price. Subscription AI features on device AI, very greedy Samsung.  Apple like tricks where you end up paying for the same feature multiple times.<br>Probably why they&#39;re offering 7 years of updates to milk the fanboys thoroughly.<br>Literally 5 years of 12 gig Ram sammy phones while apps and services continue to grow in size.  In short 3 years it&#39;ll be completely inadequate, and they know it.<br>The hot garbage on chip Exynos for the Euro taxed to death plebs.  But look it can take same pics like last years model!<br>Those even sharper corners gonna dig them palms until they bleed.  <br>New phone same like the old because why risking improving design that&#39;s so uncomfortable...",negative,positive
330,I&#39;m updating it from a BTS S20Plus. Collecting the Purple version of the S24Ultra really can&#39;t wait.,positive,neutral
331,If u have an s23ultra..once 6.1 drops for it..its gonna be an s24..except for minor updates on the s24,negative,positive
332,Performance is better because everything you’d use the performance for is stagnant. Apps and etc.,positive,positive
333,What about the rumors that Samsung is going to put the AI features behind a paywall in a few years?,negative,negative
334,Would any one recommend having the s24 ultra as a side android along with the ip 14 pmax,neutral,neutral
335,"„The zoom is basicly the same as on the s23 ultra“ - while showing comparison shots, where the s23 is clearly more detailed. It does have more noise too, but there’s definitely more detail when looking at all your shots. Excluding low light shots, where the s24 seems to be better.<br><br>„The generative AI slo-mo works like black magic“ - while showing a clip, that looks completely fake and crap.<br><br>Is it sarcasm/satire or are you biased towards this device to not see this?",positive,positive
336,Thanks for the review. I still like my 21 Ultra but I&#39;m excited for the 24 to come in!,positive,positive
337,"Bought the S24 ultra violet yesterday on a great deal. My S22 ultra is still a demon, very fast but its time to change. Loved the S22 ultra, absolutely perfect phone.",positive,positive
338,i forget that the preview users get ones with the big numbers on them.,neutral,neutral
339,I have the s23 ultra might switch to iphone 16 pro as my first  iphone 😅,positive,neutral
340,Imma wait for the galaxy Z fold/flip 6. Ive had a note phone for the past 10 years. Think i want a fold/flip phone now.,negative,positive
341,Already purchased n very happy with it,positive,neutral
342,What is the engraved number on your phone&#39;s back and front? is this a test model? do you have to return it?,neutral,neutral
343,"upgrading from s22+ to s24+ I don&#39;t want a note, pens are useless",negative,positive
344,"im done with the prices, they are insane even if my note 9 is 3 yrs old it works just as fine as my S6 and probably s24",negative,positive
345,"Nice but for the price and the special Ai  that works only when u have internet connexion, i think it&#39;s not woth the cost i prefer to buy a a 2nd hand  Samsung 23 ultra  for half the price.untill the ai can be talkative like gpt i won&#39;t buy it, for people who would buy it for the snapdragon  gen3 they are phones cheaper with high specifications...",positive,positive
347,Colors are dull on the screen atm. Samsung please fix the issue. 😢 This phone feels like a total downgrade when my s23 has much more vibrant color output on the screen.,positive,positive
349,"Nice upgrade but stil staying with22 ultra, no problems,so many more things still can do!!!😀",positive,positive
350,Fact: they always edit samsungs photo and videos on these reviews to make it inferior lol its the opposite in person,positive,positive
351,Going from S23 Ultra to S24 Ultra with both in my hands.... Wow the S24 Ultra is a massive upgrade. Especially this bright screen and premium titanium bios quality.,positive,positive
352,"I returned the S24U 1TB and decided to keep my S21U 512GB and get the battery replaced... only thing wrong with the phone is the battery dies fast, other than that it does everything I want issue free. I dont see any reasons to upgrade tbh. Think im going to wait for S25  because of the custom chip and camera improvements as all i care about is a fast phone that can handle many multiple resource intensive apps at once AND I take tons of photos and videos that i edit... so i need a great camera and great chip... hence next phone should blow this one out of the water and blow my s21u away",positive,positive
353,I&#39;m upgrading from a S21 and can&#39;t wait.  The S24 Ultra (Violet) is a massive upgrade for me.,neutral,positive
354,"If you&#39;re rocking other high end phones, I see no use in upgrading to the s22u. However if you are using a slow poke of a phone like the stylus g 5g then You&#39;ll love the upgrade.",positive,positive
355,"I&#39;ll be going from my S9+ to the S24 Ultra, it just now started acting up, so I&#39;m looking forward to the transition.",neutral,positive
356,Worth the upgrade over the S22+?,positive,neutral
357,I&#39;m gonna get s24 Ultra.  Hopefully.,neutral,neutral
358,I recently upgraded from S23 ULTRA to S24 ULTRA..and love the flat display..<br>Screen protectors will be a lot easier to install and less likely to peel away on the edges as with the S23 ULTRA,positive,positive
359,Moved from s21 ultra to s24 ultra only for that free 512 gb space upgrade,positive,positive
360,"Any thoughts on Vivid mode not working? Settings--&gt;Display--&gt;Screen Mode--&gt;Vivid isn&#39;t doing anything. It&#39;s just Natural (even when vivid is selected), and most people switch from Natural when they get their Samsung phone.",positive,positive
361,"Just came over from iPhone 14 Pro, this feels like a major upgrade.",positive,positive
362,The AI slow mo is so juddery.  Not a fan so far.  Got the 512GB version for 1049 without trade in.  Giving it a week to see if worth having it as a second phone.,positive,negative
363,i still use galaxy note 10. i don&#39;t play games so i don&#39;t need to upgrade but now i really want to upgrade because of that ai.,positive,neutral
364,"Throughout the video, I can see an on screen &quot;tab&quot; on your s24 ultra, right next to the volume button. Is this an edge panel tab? I hope so because that was an awesome feature on the galaxy phones. I was under the impression that the edge panels went away with the curved screen.",positive,positive
365,Pre-ordered. I have a note 20 ultra now so it&#39;ll be a good upgrade for me,positive,positive
366,I think (just guessing) you cannot search people as this would impact privacy. You make a picture of someone you don&#39;t know and than you can search for him/her on Internet only based on a picture. For me that does not sound very tempting.,neutral,positive
367,"@THETECHCHAP I ENJOY YOUR VIDEOS,, WHY NOT GIFT ME WITH THE OLD S23 ULTRA 😅",positive,positive
368,"I wish they would ditch the S Pen and use the available space for features people actually use. I appreciate the bigger battery, the better camera on the Ultra series but I can count on one hand the times ive used the pen.",positive,positive
369,Best comparison video compare to others ......,positive,negative
370,"After 2 years with the s22 ultra and the deals Samsung offered, it&#39;s an easy upgrade.",positive,neutral
371,Going from my 21 ultra to the 24 ultra pretty excited 😊,positive,positive
372,"I have the S10 which is still in great condition besides the battery draining terribly. Camera feels like its degraded over time even though no scratches on the lens. But I&#39;m tempted by the S24 Ultra, even though the trade in I get is a measely AUD$100... hopefully with the 7 year thing, I wont have to upgrade for another 5 years.<br><br>Debating whether &quot;its time&quot; or I can wait another year OR just get the S24 or S24+ 😂😂 Basically comes down to how fancy a camera I want really. Ah decisions 😵‍💫",negative,positive
373,I currently have a Fold 4 and I&#39;d love to switch for the S24 Ultra. The screen of the Fold 4 is the only thing that&#39;s nice about it. The cameras aren&#39;t that good and battery life is unimpressive. Just need to pay this thing off and I&#39;ll be getting the S24 Ultra or whatever is the new hottness.,positive,positive
374,Yes! The AI is coming to the S23! I just bought in December 😂,neutral,positive
375,Waiting for my s24 Ultra 1TB 😊 Can&#39;t wait to test video/photo quality and new AI features...<br>Great review 👏,positive,positive
376,Been waiting to try a new ultra series because I hate curved screens. Pre-ordered mine last night.,negative,positive
377,Why isn&#39;t anyone testing the 960fps slo-mo and super slo-mo..?,positive,neutral
380,The ai slow motion was really bad. So many artifacts on the metro screen.,negative,positive
381,"Coming from the S21, this sounds like a very good upgrade and if it lasts as long as my current phone it can hardly be called expensive either!",negative,positive
382,"Upgrading from the S9+ that I received as a free upgrade from Affirm when my S8+ broke. I havent had a brand new phone since the S8+!! I love this S24 Ultra but the screen is incredibly dull even compared to the S9+. Also, mine is through ATT so I havent experienced the green and white lines but yeah solid phone.",positive,positive
383,The colors on the s23 surprisingly looks better even on the selfie view the video looks more vibrant the 24 looks dull 😑,positive,positive
384,"It does seem smooth, especially during video zoom transition, finally.<br>I&#39;m hoping with any of these phones that you can reduce the processing and get more natural images, or at least get proper raw files",positive,negative
385,"This looks insane. I was planning on getting ROG 8 Pro because I really like the design and the animated LED on the back, but I don&#39;t think the price is justified when you can get pretty much get another flagship with similar specs, way better camera, and AI features. <br>Unless ROG 8 drop it&#39;s price, I&#39;ll just buy this for my next phone.",positive,positive
386,Weak AI. People want something like a conversational AI with command flexibility and context.,negative,negative
388,I am looking to upgrade my s21 ultra exynos edition is it worth upgrading to the s23 ultra or the s24 ultra but not really concerned about the ai  features?,positive,positive
